label,budget,R,fpr_LDC,fpr_DEV,pi_LDC,pi_DEV,clus_A_lo,clus_A_hi,clus_A_p,clus_B_lo,clus_B_hi,clus_B_p,naive_A_lo,naive_A_hi,naive_A_p,design_effect,BH_clusA,BH_clusB
fraud,0.01,,0.0,0.0,0.3333333333333333,0.2102744097000638,,,,,,,,,,,False,False
fraud,0.02,0.0,0.0,0.00040404040404040404,0.3333333333333333,0.2102744097000638,0.0,0.0,0.0005208333333333333,0.0,0.0,0.000531632110579479,0.0,0.0,0.0005120327700972862,,True,True
fraud,0.05,0.0,0.0,0.0028282828282828283,0.3333333333333333,0.2102744097000638,0.0,0.0,0.00033344448149383126,0.0,0.0,0.000333555703802535,0.0,0.0,0.000333555703802535,,True,True
fraud,0.1,0.0,0.0,0.012525252525252526,0.3333333333333333,0.2102744097000638,0.0,0.0,0.0003333333333333333,0.0,0.0,0.0003333333333333333,0.0,0.0,0.0003333333333333333,,True,True
fraud,0.2,1.1457589227174465,0.10714285714285714,0.05898989898989899,0.3333333333333333,0.2102744097000638,0.0,3.0617497323745457,0.834,0.0,2.4755014289404267,0.88,0.0,2.9739397634203675,0.8673333333333333,1.0599247702575043,False,False
crit2,0.01,,0.0,0.0025673940949935813,0.0,0.00574345883854499,,,,,,,,,,,False,False
crit2,0.02,,0.0,0.007381258023106547,0.0,0.00574345883854499,,,,,,,,,,,False,False
crit2,0.05,,0.023809523809523808,0.02053915275994865,0.0,0.00574345883854499,,,,,,,,,,,False,False
crit2,0.1,,0.023809523809523808,0.050706033376123234,0.0,0.00574345883854499,,,,,,,,,,,False,False
crit2,0.2,,0.07142857142857142,0.12195121951219512,0.0,0.00574345883854499,,,,,,,,,,,False,False
