label,budget,R,clusA_lo,clusA_hi,clusA_p,clusB_lo,clusB_hi,clusB_p,naive_lo,naive_hi,naive_p,deff,BH_clusB
fraud,0.01,,,,,,,,,,,,False
fraud,0.02,,0.9968387094971564,3.4685140567991666,0.07142857142857142,0.94950010400103,3.908729711749605,0.11320754716981132,0.19128749942089834,2.845057957937977,0.9229357798165138,0.8674733495294031,False
fraud,0.05,0.4862700354224516,0.267278054344744,1.813916641531931,0.28771929824561404,0.25707845815390956,1.9106246264918727,0.3198324022346369,0.1307007855134847,1.683171188427682,0.20530796194291437,0.9925011617843571,False
fraud,0.1,0.8418223193872549,0.5379267728510488,1.3890442759257102,0.479,0.5558165781177264,1.3749521972979797,0.451,0.5162539041949127,1.3612229293698128,0.494,1.0146060923815927,False
fraud,0.2,1.3483446530149943,1.110046560783365,1.6698913028767455,0.002,1.125481854836531,1.639824773956575,0.002,1.1015810218376554,1.679617456850705,0.004,0.9380473907863283,True
crit2,0.01,0.9863246244137849,0.3953978971366732,3.0028431486513574,0.9814907453726863,0.489721258705508,2.7721171662979605,0.985,0.37387139296657523,3.0254748808315144,0.9554777388694348,0.9669705188019367,False
crit2,0.02,1.4437505371853947,0.7047877565221272,2.981402391493003,0.268,0.9436534676304769,2.4609611068742807,0.101,0.6808669705630367,2.923870645118384,0.331,1.0301941432835278,False
crit2,0.05,1.330510821474845,0.6521985063036891,2.413710072312815,0.361,1.0277846373163049,1.7947780512281999,0.025,0.6901432270364158,2.398106946579662,0.359,1.0636866676345111,False
crit2,0.1,1.2110568173181915,0.6586049858106405,2.0266632256654824,0.526,1.0286750310201935,1.4399052665877068,0.025,0.6498176387199118,2.0221804108402224,0.542,0.9937366684852489,False
crit2,0.2,1.0442928260240685,0.569242371425066,1.7238050750481957,0.834,0.9447754233409066,1.1665760403544603,0.395,0.5762779654106457,1.7507357231990237,0.888,0.9664073992785938,False
