origin,n,legit,nfp,R,clusA_lo,clusA_hi,clusA_p,clusB_lo,clusB_hi,clusB_p,BH_clusA,BH_clusB
VN,322,321,18,1.7847161484330323,0.38551627410884426,2.6666458932940653,0.6734059097978227,0.9997763189888855,2.669682826905292,0.051,False,False
CN,4285,4237,539,1.4040693260264543,0.8259255465596561,2.265259417879806,0.212,1.1973594152307312,1.6497549594495395,0.0005,False,True
IT,260,259,11,1.0810627588797315,0.24382676232076894,1.7344294891801537,0.7056,0.5645302197605258,1.7688576109006178,0.8083375699034062,False,False
KR,378,376,20,0.9826699331216966,0.32513744033182146,2.6380304729202972,0.9006928406466512,0.5875298979452148,1.432718574894138,0.887,False,False
US,729,726,29,0.9470145004610441,0.35715559326808605,3.409659438887419,0.9530838165524512,0.6198305490578505,1.2911151175093252,0.768,False,False
DE,319,316,26,0.850383462038585,0.32075264237476075,3.0950312248464327,0.8363252375923971,0.553128970943884,1.1781839163192118,0.365,False,False
GB,85,83,17,0.8476013168058141,0.27144417476019883,2.2785555583071853,0.7825072886297376,0.49374051524375506,1.215117825842066,0.392,False,False
TW,143,142,8,0.785583956613943,0.161553300359942,1.3822121221385628,0.2954954954954955,0.4763917380531346,1.3822484230319372,0.46714522363335176,False,False
JP,784,781,22,0.7111681699708838,0.2612124017821722,2.6901152037655653,0.6015831134564644,0.4472424422840644,1.0223200921945346,0.06,False,False
FR,108,107,7,0.6880434459204491,0.17202764847556815,1.2693461706405142,0.19101123595505617,0.45556691608842576,1.2407376682448645,0.2785415421398685,False,False
CA,65,63,5,0.24706113924536552,0.1101081477853853,0.9106535828065103,0.03508771929824561,0.21003161474878945,0.5062850559344451,0.0009000900090009,False,True
