det,budget,marg_gap,matched_gap,explained_pct
thin,1%,-0.3199960800703985,-0.10539849921844072,67.06256551791094
thin,5%,-1.690448806614529,-0.26305616545666805,84.43867898114631
thin,10%,-2.375283329346571,-0.28011543916725906,88.20707257502971
thin,20%,-1.9751181207604205,-0.09260001380992579,95.31167210524731
rich,1%,-0.1634948741238511,-0.041161676109417504,74.82387363518406
rich,5%,3.19330773375219,0.9597565891276778,69.94475104972273
rich,10%,7.151554753449201,1.5599674184880767,78.18701705757475
rich,20%,8.462242528455398,1.1305812511929259,86.63969689605092
gnn,1%,-2.0959980587692204,-0.2507492801869274,88.03675990357699
gnn,5%,6.046880441134778,3.586912529877695,40.6816032697256
gnn,10%,7.730057079737795,2.859728293012011,63.00508180582525
gnn,20%,5.14650707916697,0.7037571274215678,86.32553853330208
