detector,budget,group,n_innocent,n_flagged,share_flagged,mean_test_tx
thin,0.01,S,64026,2514,0.03926529847249555,4.041295723612283
thin,0.01,M,78424,2762,0.03521881056819341,3.527402325818627
thin,0.01,L,68644,2679,0.03902744595303304,3.3543354116892954
thin,0.05,S,64026,12440,0.19429606722269077,4.041295723612283
thin,0.05,M,78424,14622,0.18644802611445477,3.527402325818627
thin,0.05,L,68644,13594,0.1980362449740691,3.3543354116892954
thin,0.1,S,64026,21291,0.33253678193234,4.041295723612283
thin,0.1,M,78424,25623,0.3267239620524329,3.527402325818627
thin,0.1,L,68644,22624,0.32958452304644253,3.3543354116892954
thin,0.2,S,64026,31743,0.4957829631712117,4.041295723612283
thin,0.2,M,78424,36847,0.4698434152810364,3.527402325818627
thin,0.2,L,68644,32727,0.47676417458190085,3.3543354116892954
rich,0.01,S,64026,2203,0.03440789679192828,4.041295723612283
rich,0.01,M,78424,2659,0.03390543711108844,3.527402325818627
rich,0.01,L,68644,2813,0.040979546646465824,3.3543354116892954
rich,0.05,S,64026,4990,0.07793708805797644,4.041295723612283
rich,0.05,M,78424,5902,0.07525757421197593,3.527402325818627
rich,0.05,L,68644,5772,0.08408600897383603,3.3543354116892954
rich,0.1,S,64026,8168,0.12757317339830693,4.041295723612283
rich,0.1,M,78424,9719,0.12392889931653575,3.527402325818627
rich,0.1,L,68644,9049,0.13182506846920342,3.3543354116892954
rich,0.2,S,64026,22320,0.34860837784649984,4.041295723612283
rich,0.2,M,78424,26609,0.33929664388452513,3.527402325818627
rich,0.2,L,68644,23266,0.3389371248761727,3.3543354116892954
gnn,0.01,S,63784,8497,0.13321522638906308,4.052709143358836
gnn,0.01,M,78112,12031,0.1540224293322409,3.537407824662024
gnn,0.01,L,68364,11468,0.16774910771751214,3.3638757240652977
gnn,0.05,S,63784,13726,0.21519503323717545,4.052709143358836
gnn,0.05,M,78112,19379,0.24809248258910283,3.537407824662024
gnn,0.05,L,68364,17877,0.2614972792697911,3.3638757240652977
gnn,0.1,S,63784,13760,0.2157280822776872,4.052709143358836
gnn,0.1,M,78112,19445,0.24893742318721834,3.537407824662024
gnn,0.1,L,68364,17907,0.26193610672283657,3.3638757240652977
gnn,0.2,S,63784,33698,0.5283143107989464,4.052709143358836
gnn,0.2,M,78112,44792,0.5734330192544039,3.537407824662024
gnn,0.2,L,68364,40128,0.5869756011936107,3.3638757240652977
