det,budget,FPR_S,FPR_M,FPR_L,pi_S,pi_M,pi_L,R_SL,R_SM,R_ML
thin,1%,0.9560122695356887,1.0375291959726052,1.2760083496060872,0.0015771784572505944,0.001978763684253848,0.002196196339112871,1.0432785462669314,1.1560489787683823,0.9024518557841787
thin,5%,5.080559879669222,5.798287169607157,6.771008686283751,0.0015771784572505944,0.001978763684253848,0.002196196339112871,1.0448369681151233,1.0993220739659224,0.9504375404250383
thin,10%,9.99888339343304,11.578429949459627,12.374166722779611,0.0015771784572505944,0.001978763684253848,0.002196196339112871,1.125190009399083,1.0834650986732968,1.0385106181794672
thin,20%,20.042759463240657,21.393885010754673,22.017877584001077,0.0015771784572505944,0.001978763684253848,0.002196196339112871,1.2675712740265954,1.175387187031399,1.078428698230087
rich,1%,1.1655402076888215,1.1896121719164434,1.3290350818126726,0.0015771784572505944,0.001978763684253848,0.002196196339112871,1.221184102410618,1.2292351083308488,0.9934503937727884
rich,5%,6.622790596859051,5.087686887214473,3.4294828631068612,0.0015771784572505944,0.001978763684253848,0.002196196339112871,2.689073750339527,1.6331788338901896,1.6465274313739564
rich,10%,13.352315644971657,9.800939549491297,6.200760891522457,0.0015771784572505944,0.001978763684253848,0.002196196339112871,2.998485358241334,1.709235777031218,1.7542842237069372
rich,20%,25.751903157369277,21.37013235507581,17.28966062891388,0.0015771784572505944,0.001978763684253848,0.002196196339112871,2.0740211869610743,1.5118726595179643,1.3718226689953779
gnn,1%,2.8670515675185717,4.0788588168538285,4.963049626287792,0.0015771784572505944,0.001978763684253848,0.002196196339112871,0.8044095416755493,0.8818808784881577,0.9121521526292525
gnn,5%,14.975992958810355,12.46849474142595,8.929112517675577,0.0015771784572505944,0.001978763684253848,0.002196196339112871,2.3354880982522865,1.5069356097285527,1.5498260729753293
gnn,10%,17.593450117243687,14.086314511553027,9.863393037505892,0.0015771784572505944,0.001978763684253848,0.002196196339112871,2.483790728335002,1.5669918150647895,1.585069369511867
gnn,20%,29.259361432409175,27.088914107757883,24.112854353242206,0.0015771784572505944,0.001978763684253848,0.002196196339112871,1.6896881084310735,1.3551467953156133,1.24686721340587
